Un;Município;Tag Planta;Descrição Planta;Tag Comp;Descrição Comp;Atributo;Valor
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0406;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0406 -  DN 250 R. DOMINGOS LOPES;RJB-30120;Valvula Redutora de Pressão;CLASSE_DE_PRESSAO;PN16
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0406;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0406 -  DN 250 R. DOMINGOS LOPES;RJB-30120;Valvula Redutora de Pressão;DIAMETRO_NOMINAL;200MM
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0406;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0406 -  DN 250 R. DOMINGOS LOPES;RJB-30120;Valvula Redutora de Pressão;FABRICANTE;Bgt
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0406;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0406 -  DN 250 R. DOMINGOS LOPES;RJB-30120;Valvula Redutora de Pressão;MODELO;BGT-YST
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0406;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0406 -  DN 250 R. DOMINGOS LOPES;RJB-30120;Valvula Redutora de Pressão;PRESSAO_TRABALHO;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0406;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0406 -  DN 250 R. DOMINGOS LOPES;RJB-30120;Valvula Redutora de Pressão;TIPO;Valvula Redutora de Pressão
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0406;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0406 -  DN 250 R. DOMINGOS LOPES;RJB-30211;Valvula Redutora de Pressão;ACIONAMENTO;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0406;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0406 -  DN 250 R. DOMINGOS LOPES;RJB-30211;Valvula Redutora de Pressão;CLASSE_DE_PRESSAO;PN16
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0406;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0406 -  DN 250 R. DOMINGOS LOPES;RJB-30211;Valvula Redutora de Pressão;DIAMETRO_NOMINAL;250MM
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0406;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0406 -  DN 250 R. DOMINGOS LOPES;RJB-30211;Valvula Redutora de Pressão;FABRICANTE;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0406;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0406 -  DN 250 R. DOMINGOS LOPES;RJB-30211;Valvula Redutora de Pressão;MODELO;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0406;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0406 -  DN 250 R. DOMINGOS LOPES;RJB-30211;Valvula Redutora de Pressão;PRESSAO_TRABALHO;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0406;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0406 -  DN 250 R. DOMINGOS LOPES;RJB-30211;Valvula Redutora de Pressão;TIPO;Valvula Redutora de Pressão
